data_id,name,rarity,restriction_level,img,type_id,sub_type_id,price_last_changed,max_offer_unit_price,min_sale_unit_price,offer_availability,sale_availability,sale_price_change_last_hour,offer_price_change_last_hour
12128,"Omnomberry",1,80,"https://render.guildwars2.com/file/9C5457B024D9152906D808A53BFF67539BB94FA0/219396.png",5,0,"2016-11-11 17:41:14 UTC",68,73,70229,173280,0,0
12134,"Carrot",1,0,"https://render.guildwars2.com/file/F06472A03B49AA6C9256195FC43B49BEA26595D0/62859.png",5,0,"2016-11-11 17:41:14 UTC",72,97,92201,379694,-7,0
12135,"Potato",1,0,"https://render.guildwars2.com/file/24CE9454113F0609E6E9B655EF0670B40D5522EC/63245.png",5,0,"2016-11-11 17:41:14 UTC",117,144,73083,66622,0,0
12136,"Bag of Flour",1,0,"https://render.guildwars2.com/file/D4D43D9FF51498B204D1C83F6DF32A1394303373/63246.png",5,0,"2016-11-11 17:41:14 UTC",8,12,128643,147339,-8,-12
12138,"Stick of Butter",1,0,"https://render.guildwars2.com/file/CA45CEE2BA3BA040E7C294965CA3756FC3F33FD1/63248.png",5,0,"2016-11-11 17:41:14 UTC",173,206,447257,72126,-10,0
12142,"Onion",1,0,"https://render.guildwars2.com/file/62FEA707A3547EA74113C29A110B40B23501B75C/63115.png",5,0,"2016-11-11 17:41:14 UTC",205,223,100526,75426,0,0
12143,"Egg",1,0,"https://render.guildwars2.com/file/5FC1B2D9C0BC0365CB6E5C943D2E7E1F58520241/63158.png",5,0,"2016-11-11 17:41:14 UTC",110,123,201534,132646,-9,0
12144,"Snow Truffle",1,80,"https://render.guildwars2.com/file/917E9C5504FE06715DCBE04D75F826BE5DB895BA/219398.png",5,0,"2016-11-11 17:41:14 UTC",917,923,15411,23430,0,0
12147,"Mushroom",1,0,"https://render.guildwars2.com/file/2713C5787FCB403F25A4F7144D2B1E52291E3178/219399.png",5,0,"2016-11-11 17:41:14 UTC",28,33,197023,135698,-12,-3
12151,"Packet of Baking Powder",1,0,"https://render.guildwars2.com/file/2602760FB17294424AB0A71B3668046E064A4068/63255.png",5,0,"2016-11-11 06:34:35 UTC",3,7,172,246269,0,0
12153,"Packet of Salt",1,0,"https://render.guildwars2.com/file/135535073FE49205B57801F3A94F35F7270274EF/63257.png",5,0,"2016-11-10 22:26:05 UTC",6,11,81163,103829,0,0
12155,"Bag of Sugar",1,0,"https://render.guildwars2.com/file/C9A8A4781A07393016AFF9A47E1B356255FC9F0F/63258.png",5,0,"2016-11-11 17:41:14 UTC",9,12,63811,89370,0,0
12156,"Jug of Water",1,0,"https://render.guildwars2.com/file/C23FA1EA0827E97312D6064F4A08B402FE9943B9/63071.png",5,0,"2016-11-11 11:41:12 UTC",5,11,79716,296109,0,0
12157,"Jar of Vinegar",1,0,"https://render.guildwars2.com/file/116B302CC6143B753304B771760EB9735918B4FB/63102.png",5,0,"2016-11-11 15:35:11 UTC",5,10,57266,56624,0,0
12158,"Jar of Vegetable Oil",1,0,"https://render.guildwars2.com/file/750AB0461B36DAC2B9970E4C6328911364DE2552/63259.png",5,0,"2016-11-11 00:36:25 UTC",6,12,24460,207846,0,0
12161,"Beet",1,20,"https://render.guildwars2.com/file/CE0105F7035E55544A75D71FD0EC1A0095E7062C/63261.png",5,0,"2016-11-11 17:41:19 UTC",35,42,30675,140878,0,0
12162,"Turnip",1,20,"https://render.guildwars2.com/file/753BAA18664504123A54FC9E7060A10107C9A574/63262.png",5,0,"2016-11-11 17:41:19 UTC",7,8,26921,341888,0,0
12163,"Head of Garlic",1,20,"https://render.guildwars2.com/file/3FF6110C2B976FBCCD4F4DC6B19D33ED010431AA/63263.png",5,0,"2016-11-11 17:41:19 UTC",932,963,51777,7984,0,0
12166,"Ball of Dough",1,0,"https://render.guildwars2.com/file/653F995228B62DF626BBEFC96902961400DE21EE/63266.png",5,0,"2016-11-11 17:41:19 UTC",162,247,19164,11666,0,0
12167,"Bowl of Staple Soup Vegetables",1,10,"https://render.guildwars2.com/file/0B7B6F6568FC90411B71D5C19D4516920145ACF0/63267.png",5,0,"2016-11-11 15:35:11 UTC",367,449,25878,555,0,0
12168,"Bowl of White Frosting",1,40,"https://render.guildwars2.com/file/2623121EB739D3DA24AC1DAEC2717E4457F15CDC/63268.png",5,0,"2016-11-10 18:28:32 UTC",58,140,6203,15528,0,0
12169,"Bowl of Baker's Dry Ingredients",1,25,"https://render.guildwars2.com/file/546639E30FF804FF50E1187BE6E3CAA75CE46DA5/63269.png",5,0,"2016-11-11 17:41:19 UTC",20,31,51762,97097,-3,0
12170,"Bowl of Baker's Wet Ingredients",1,25,"https://render.guildwars2.com/file/08EFE0B5291B2BB75766224E08CB465CFC9368E8/63270.png",5,0,"2016-11-11 15:35:11 UTC",345,440,9756,6749,0,0
12171,"Pasta Noodles",1,10,"https://render.guildwars2.com/file/340F42DB44797B2E123E1F7BC69C08243F0F5F47/63271.png",5,0,"2016-11-11 17:41:19 UTC",141,216,11320,20039,0,0
12172,"Jar of Tomato Sauce",1,25,"https://render.guildwars2.com/file/2CBD5D5F4F076716CBE6B59434E9E12A38B37C62/63272.png",5,0,"2016-11-11 17:41:19 UTC",1014,1124,7948,2628,0,0
12173,"Bowl of Sage Stuffing",1,25,"https://render.guildwars2.com/file/6001550DAF4E24209C13A553196ACECB6AE50845/63120.png",5,0,"2016-11-11 17:41:19 UTC",11,35,6758,19783,0,9
12174,"Bowl of Tangy Sautee Mix",1,25,"https://render.guildwars2.com/file/2A06311AD4A97ACB09B8A2D8DEFEB8ABE6615264/219400.png",5,0,"2016-11-07 18:46:36 UTC",7,8,76624,118527,0,0
12175,"Bottle of Ascalonian Dressing",1,25,"https://render.guildwars2.com/file/9995D3ED4F139D289C02C258C1F6953B2742173A/63060.png",5,0,"2016-11-11 15:35:11 UTC",1040,1538,12571,2588,0,0
12176,"Bottle of Simple Dressing",1,10,"https://render.guildwars2.com/file/9591D8DA7D73685659E0AAB8AA28139B937475CF/219401.png",5,0,"2016-11-11 17:41:19 UTC",273,397,17018,6257,0,0
12177,"Pile of Cinnamon and Sugar",1,0,"https://render.guildwars2.com/file/F90EEC96BB0C70D5CC2F30BA2E0B45B8326965A8/219351.png",5,0,"2016-11-11 17:41:19 UTC",19,26,236958,48025,0,0
12178,"Pile of Salt and Pepper",1,0,"https://render.guildwars2.com/file/DE066D3C502075B90ECE290F5B95FFA87875DFAB/63274.png",5,0,"2016-11-11 17:41:19 UTC",262,362,18216,29764,0,0
12179,"Pile of Simple Stew Herbs",1,25,"https://render.guildwars2.com/file/2D5B9BB20336CC06CC364FE699151C5621BA313B/219402.png",5,0,"2016-11-11 15:35:11 UTC",162,219,19561,12274,0,0
12180,"Pile of Ascalonian Herbs",1,20,"https://render.guildwars2.com/file/C4ED67EE9ABA0CB10E3FF80C58D85AADF3F2425B/219403.png",5,0,"2016-11-11 11:41:16 UTC",727,824,5636,3027,0,0
12181,"Pile of Tangy Seasoning",1,20,"https://render.guildwars2.com/file/FF98B1BF45D9CB955B0500AFE9797F9C49D7A6D5/219404.png",5,0,"2016-11-11 03:25:53 UTC",64,132,52969,75059,0,0
12228,"Cup of Banana Cream Pie Filling",1,20,"https://render.guildwars2.com/file/B00A2ADD1B1FF01CB11BCC18B514D0C3F97C4B90/63309.png",5,0,"2016-11-11 15:35:17 UTC",3,13,2324,27131,0,0
12229,"Chocolate Bar",1,0,"https://render.guildwars2.com/file/F86CB32339ED0202394753B2ED26091BA1B9B643/63310.png",5,0,"2016-11-11 17:41:24 UTC",381,426,129453,15821,0,0
12234,"Vanilla Bean",1,0,"https://render.guildwars2.com/file/0B2624A031FBF37DECBA167B5C057EDFC76FA3DD/63148.png",5,0,"2016-11-11 17:41:24 UTC",22,31,68523,255089,3,-4
