GLAM-ID,Wikidata,isPartOf_WD,Institution-type_1,Institution-type_2,Institution,hasNoHeritageCollection,inExistenceSince,sourceOpening,inExistenceUntil,sourceClosure,Designation,isPartOf,Postal_address_line1,Postal_address_line2,Postal_address_line3,Postal_address_street_and_no,Postal_address_complement,Postal_address_zip_code,Postal_address_town,Physical_location_address,Physical_location_zip_code,Physical_location_municipality,Municipality_code_FSO,Municipality,Canton,Country,Language,Website,PCP-No,PCP-Category,hasPart_(PCP-No),isPartOf_(PCP-No),isOr_Has_PCP_A/B,related_(PCP-No)
CH-000001,,,museum,museum of science or technology,Agrotechnorama,,,,,,Agrotechnorama,,Agrotechnorama,,,Tänikon,,8356,Ettenhausen TG,Tänikon,8356,Ettenhausen TG,4551,Aadorf,TG,CH,de,http://www.agrotechnorama.ch,8589,A,,,A,
CH-000002,Q301235,,library,state library,Aargauer Kantonsbibliothek,,,,,,Aargauer Kantonsbibliothek,,,,,Aargauerplatz ,,,Aarau,,,Aarau,4001,Aarau,AG,CH,de,,8924,A,9321,,A,
CH-000003,Q301250,,museum,museum of art,Aargauer Kunsthaus,,,,,,Aargauer Kunsthaus,,Aargauer Kunsthaus,,,Aargauerplatz,,5001,Aarau,Aargauerplatz,5001,Aarau,4001,Aarau,AG,CH,de,http://www.aargauerkunsthaus.ch,8489,A,,,A,
CH-000004,,,museum,museum with a theme,Forum Schlossplatz,,,,,,Forum Schlossplatz,,Forum Schlossplatz,,,Schlossplatz 4,,5000,Aarau,Schlossplatz 4,5000,Aarau,4001,Aarau,AG,CH,de,http://www.forumschlossplatz.ch,,,,,,
CH-000005,,,other,institution for monument care,Kantonale Denkmalpflege Aargau,,,,,,Kantonale Denkmalpflege Aargau,,Kantonale Denkmalpflege Aargau,,,Bachstrasse 15,Postfach,5001,Aarau ,Bachstrasse 15,,Aarau,4001,Aarau,AG,CH,de,,,,,,,
CH-000006,Q1970000,,museum,museum of natural history or natural science,Naturama Aargau,,,,,,Naturama Aargau,,Naturama Aargau,am Bahnhofplatz,,Feerstrasse 17,,5001,Aarau,Bahnhofplatz,5001,Aarau,4001,Aarau,AG,CH,de,http://www.naturama.ch,8490,A,,,A,
CH-000007,Q1410236,,archive / records office,state archive,Staatsarchiv Aargau,,,,,,Staatsarchiv Aargau,,Staatsarchiv Aargau,,,Entfelderstrasse 22,,5001,Aarau,,,Aarau,4001,Aarau,AG,CH ,de,,8786,A,,,A,
CH-000008,,,archive / records office,municipal archive,Stadtarchiv Aarau,,,,,,Stadtarchiv Aarau,,Stadtarchiv Aarau,,,Rathausgasse 1,,5000,Aarau,,,Aarau,4001,Aarau,AG,CH ,de,,8848,B,,,B,
CH-000009,Q1370412,,museum,museum of history,Stadtmuseum Aarau,,,,,,Stadtmuseum Aarau,,Stadtmuseum Aarau,,,Schlossplatz 23,,5000,Aarau,Schlossplatz 23,5000,Aarau,4001,Aarau,AG,CH,de,http://www.museumaarau.ch,,,,,,
CH-000010,,,museum,museum of history,Historische Militäranlagen Freiburg/Bern,,,,,,Historische Militäranlagen Freiburg/Bern,,Historische Militäranlagen Freiburg/Bern,Jürg Keller,,,,3270,Aarberg,mehrere Standorte in den Kantonen Bern und Freiburg,3270,Aarberg,301,Aarberg,BE,CH,de,http://www.fort-fribe.ch/,,,,,,
CH-000011,,,museum,regional or local museum,Heimatmuseum Aarburg,,,,,,Heimatmuseum Aarburg,,Heimatmuseum Aarburg,,,Städtchen 35,,4663,Aarburg,Städtchen 35,4663,Aarburg,4271,Aarburg,AG,CH,de,http://www.museum-aarburg.ch,,,,,,
